"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"28179-6914","TE","Greg","Greg Olsen","Olsen","4.300000190734863","1","6300","CAR@ATL","CAR","ATL","O","Foot","","",""
"28179-28473","RB","Carlos","Carlos Hyde","Hyde","13","1","6300","CLE@NO","CLE","NO","","","","",""
"28179-24891","RB","Chris","Chris Thompson","Thompson","21.799999237060547","1","6200","IND@WAS","WAS","IND","","","","",""
"28179-31061","RB","T.J.","T.J. Yeldon","Yeldon","14.399999618530273","1","6200","NE@JAC","JAC","NE","","","","",""
"28179-14704","WR","Chris","Chris Hogan","Hogan","1.600000023841858","1","6200","NE@JAC","NE","JAC","","","","",""
"28179-39280","RB","Derrick","Derrick Henry","Henry","3.5999999046325684","1","6200","HOU@TEN","TEN","HOU","","","","",""
"28179-21948","QB","Ryan","Ryan Tannehill","Tannehill","15.699999809265137","1","6200","MIA@NYJ","MIA","NYJ","","","","",""
"28179-30298","TE","Jordan","Jordan Reed","Reed","12.800000190734863","1","6200","IND@WAS","WAS","IND","","","","",""
"28179-14194","QB","Blaine","Blaine Gabbert","Gabbert","3.680000066757202","1","6200","HOU@TEN","TEN","HOU","","","","",""
"28179-40857","RB","Peyton","Peyton Barber","Barber","6.900000095367432","1","6200","PHI@TB","TB","PHI","","","","",""
"28179-14257","WR","Randall","Randall Cobb","Cobb","24.700000762939453","1","6200","MIN@GB","GB","MIN","","","","",""
"28179-14320","RB","Bilal","Bilal Powell","Powell","7","1","6200","MIA@NYJ","NYJ","MIA","","","","",""
"28179-53303","RB","Matt","Matt Breida","Breida","5.599999904632568","1","6100","DET@SF","SF","DET","","","","",""
"28179-63806","RB","Kerryon","Kerryon Johnson","Johnson","5.199999809265137","1","6100","DET@SF","DET","SF","","","","",""
"28179-55635","WR","Chris","Chris Godwin","Godwin","11.600000381469727","1","6100","PHI@TB","TB","PHI","","","","",""
"28179-41535","QB","Baker","Baker Mayfield","Mayfield","0","0","6100","CLE@NO","CLE","NO","","","","",""
"28179-45631","RB","Jamaal","Jamaal Williams","Williams","4.699999809265137","1","6100","MIN@GB","GB","MIN","","","","",""
"28179-63115","QB","Lamar","Lamar Jackson","Jackson","4.860000133514404","1","6100","BAL@CIN","BAL","CIN","","","","",""
"28179-62239","QB","Josh","Josh Allen","Allen","5.559999942779541","1","6100","LAC@BUF","BUF","LAC","","","","",""
"28179-29683","WR","Nelson","Nelson Agholor","Agholor","9.5","1","6100","PHI@TB","PHI","TB","","","","",""
"28179-29715","QB","Kevin","Kevin Hogan","Hogan","9.694999694824219","4","6000","OAK@DEN","DEN","OAK","","","","",""
"28179-24607","QB","Chad","Chad Kelly","Kelly","0","0","6000","OAK@DEN","DEN","OAK","","","","",""
"28179-30761","QB","Nathan","Nathan Peterman","Peterman","-0.9399999976158142","1","6000","LAC@BUF","BUF","LAC","","","","",""
"28179-30788","QB","Tyler","Tyler Bray","Bray","-2","1","6000","SEA@CHI","CHI","SEA","","","","",""
"28179-62538","WR","Cameron","Cameron Meredith","Meredith","0","0","6000","CLE@NO","NO","CLE","","","","",""
"28179-53331","QB","Taylor","Taylor Heinicke","Heinicke","0.6000000238418579","1","6000","CAR@ATL","CAR","ATL","","","","",""
"28179-39034","QB","Kurt","Kurt Benkert","Benkert","0","0","6000","CAR@ATL","ATL","CAR","","","","",""
"28179-83079","QB","Kyle","Kyle Lauletta","Lauletta","0","0","6000","NYG@DAL","NYG","DAL","","","","",""
"28179-27801","QB","Nate","Nate Sudfeld","Sudfeld","7.559999942779541","1","6000","PHI@TB","PHI","TB","","","","",""
"28179-24755","WR","Jamison","Jamison Crowder","Crowder","4.699999809265137","1","6000","IND@WAS","WAS","IND","","","","",""
"28179-83130","QB","Chad","Chad Kanoff","Kanoff","0","0","6000","ARI@LAR","ARI","LAR","","","","",""
"28179-57537","QB","DeShone","DeShone Kizer","Kizer","-0.800000011920929","1","6000","MIN@GB","GB","MIN","","","","",""
"28179-45259","QB","Logan","Logan Woodside","Woodside","0","0","6000","HOU@TEN","TEN","HOU","","","","",""
"28179-29915","QB","Brett","Brett Hundley","Hundley","12.358182040127842","11","6000","SEA@CHI","SEA","CHI","","","","",""
"28179-54507","QB","Alex","Alex McGough","McGough","0","0","6000","SEA@CHI","SEA","CHI","","","","",""
"28179-11500","QB","Colt","Colt McCoy","McCoy","0","0","6000","IND@WAS","WAS","IND","","","","",""
"28179-11512","TE","Jimmy","Jimmy Graham","Graham","1.7999999523162842","1","6000","MIN@GB","GB","MIN","","","","",""
"28179-39179","QB","Tanner","Tanner Lee","Lee","0","0","6000","NE@JAC","JAC","NE","","","","",""
"28179-31047","QB","AJ","AJ McCarron","McCarron","1.3200000524520874","2","6000","OAK@DEN","OAK","DEN","","","","",""
"28179-27982","QB","Jake","Jake Rudock","Rudock","-0.03999999910593033","1","6000","DET@SF","DET","SF","","","","",""
"28179-27986","QB","C.J.","C.J. Beathard","Beathard","15.800000508626303","6","6000","DET@SF","SF","DET","","","","",""
"28179-11615","QB","Joe","Joe Webb III","Webb III","2.9000000953674316","2","6000","HOU@TEN","HOU","TEN","","","","",""
"28179-28080","WR","Devin","Devin Funchess","Funchess","5.599999904632568","1","6000","CAR@ATL","CAR","ATL","","","","",""
"28179-21941","QB","Robert","Robert Griffin III","Griffin III","0","0","6000","BAL@CIN","BAL","CIN","","","","",""
"28179-31170","QB","Brandon","Brandon Allen","Allen","0","0","6000","ARI@LAR","LAR","ARI","","","","",""
"28179-21959","QB","Brandon","Brandon Weeden","Weeden","0","0","6000","HOU@TEN","HOU","TEN","","","","",""
"28179-40407","QB","Joshua","Joshua Dobbs","Dobbs","0","0","6000","KC@PIT","PIT","KC","","","","",""
"28179-53729","QB","Mason","Mason Rudolph","Rudolph","0","0","6000","KC@PIT","PIT","KC","","","","",""
"28179-21994","QB","Brock","Brock Osweiler","Osweiler","12.153333028157553","6","6000","MIA@NYJ","MIA","NYJ","","","","",""
"28179-33259","QB","Teddy","Teddy Bridgewater","Bridgewater","-1.2999999523162842","1","6000","CLE@NO","NO","CLE","","","","",""
"28179-45565","QB","Taysom","Taysom Hill","Hill","0","0","6000","CLE@NO","NO","CLE","","","","",""
"28179-28163","QB","Connor","Connor Cook","Cook","0","0","6000","CAR@ATL","CAR","ATL","","","","",""
"28179-6679","QB","Matt","Matt Schaub","Schaub","0","0","6000","CAR@ATL","ATL","CAR","","","","",""
"28179-30231","QB","Jacoby","Jacoby Brissett","Brissett","13.307499885559082","16","6000","IND@WAS","IND","WAS","","","","",""
"28179-40482","QB","Tim","Tim Boyle","Boyle","0","0","6000","MIN@GB","GB","MIN","","","","",""
"28179-23075","QB","Alex","Alex Tanney","Tanney","0","0","6000","NYG@DAL","NYG","DAL","","","","",""
"28179-30253","QB","Jeff","Jeff Driskel","Driskel","0","0","6000","BAL@CIN","CIN","BAL","","","","",""
"28179-57909","RB","Marlon","Marlon Mack","Mack","6.628571646554129","14","6000","IND@WAS","IND","WAS","Q","Hamstring","","",""
"28179-40534","QB","Mike","Mike White","White","0","0","6000","NYG@DAL","DAL","NYG","","","","",""
"28179-41562","QB","Nick","Nick Mullens","Mullens","0","0","6000","DET@SF","SF","DET","","","","",""
"28179-7778","QB","Matt","Matt Cassel","Cassel","-0.5400000214576721","1","6000","DET@SF","DET","SF","","","","",""
"28179-8803","QB","Chase","Chase Daniel","Daniel","-0.20000000298023224","1","6000","SEA@CHI","CHI","SEA","","","","",""
"28179-6803","QB","Josh","Josh McCown","McCown","16.495384803185097","13","6000","MIA@NYJ","NYJ","MIA","","","","",""
"28179-22163","WR","Rishard","Rishard Matthews","Matthews","0","1","6000","HOU@TEN","TEN","HOU","","","","",""
"28179-55970","RB","Royce","Royce Freeman","Freeman","7.099999904632568","1","6000","OAK@DEN","DEN","OAK","","","","",""
"28179-7844","QB","Chad","Chad Henne","Henne","-0.25","2","6000","KC@PIT","KC","PIT","","","","",""
"28179-44715","QB","Cooper","Cooper Rush","Rush","0.6899999976158142","2","6000","NYG@DAL","DAL","NYG","","","","",""
"28179-62133","QB","Chase","Chase Litton","Litton","0","0","6000","KC@PIT","KC","PIT","","","","",""
"28179-7872","QB","Brian","Brian Hoyer","Hoyer","6.7879997253417965","10","6000","NE@JAC","NE","JAC","","","","",""
"28179-6893","WR","Jordy","Jordy Nelson","Nelson","3.799999952316284","1","6000","OAK@DEN","OAK","DEN","","","","",""
"28179-41732","QB","Christian","Christian Hackenberg","Hackenberg","0","0","6000","BAL@CIN","CIN","BAL","","","","",""
"28179-29445","QB","Sean","Sean Mannion","Mannion","1.0399999618530273","5","6000","ARI@LAR","LAR","ARI","","","","",""
"28179-28434","QB","Trevor","Trevor Siemian","Siemian","12.736364191228693","11","6000","MIN@GB","MIN","GB","","","","",""
"28179-25410","QB","Mike","Mike Glennon","Glennon","9.680000305175781","4","6000","ARI@LAR","ARI","LAR","","","","",""
"28179-27477","WR","Sterling","Sterling Shepard","Shepard","7.300000190734863","1","6000","NYG@DAL","NYG","DAL","","","","",""
"28179-28515","QB","Cardale","Cardale Jones","Jones","0","0","6000","LAC@BUF","LAC","BUF","","","","",""
"28179-41827","QB","Phillip","Phillip Walker","Walker","0","0","6000","IND@WAS","IND","WAS","","","","",""
"28179-53095","QB","Kyle","Kyle Allen","Allen","0","0","6000","CAR@ATL","CAR","ATL","","","","",""
"28179-33647","QB","Kyle","Kyle Sloter","Sloter","0","0","6000","MIN@GB","MIN","GB","","","","",""
"28179-26483","QB","Geno","Geno Smith","Smith","4.840000152587891","2","6000","LAC@BUF","LAC","BUF","","","","",""
"28179-39795","QB","Davis","Davis Webb","Webb","0","0","6000","MIA@NYJ","NYJ","MIA","","","","",""
"28179-40843","RB","Alex","Alex Collins","Collins","6.400000095367432","1","6000","BAL@CIN","BAL","CIN","","","","",""
"28179-41867","RB","Jordan","Jordan Wilkins","Wilkins","7.599999904632568","1","6000","IND@WAS","IND","WAS","","","","",""
"28179-38796","QB","J.T.","J.T. Barrett IV","Barrett IV","0","0","6000","CLE@NO","NO","CLE","","","","",""
"28179-29587","QB","Cody","Cody Kessler","Kessler","1.3133333524068196","3","6000","NE@JAC","JAC","NE","","","","",""
"28179-62364","QB","Josh","Josh Rosen","Rosen","0","0","6000","ARI@LAR","ARI","LAR","","","","",""
"28179-33702","QB","Ryan","Ryan Griffin","Griffin","0","0","6000","PHI@TB","TB","PHI","","","","",""
